省份,人口(万人),面积(万平方千米),人均占有面积/平方米
广东,11346,18,1.586462189
山东,10047,15.38,1.530805215
河南,9605,16.7,1.738677772
四川,8341,48.14,5.771490229
江苏,8051,10.26,1.274375854
河北,7556,18.77,2.484118581
湖南,6899,21.18,3.070010146
安徽,6324,13.97,2.209044908
湖北,5917,18.58,3.140104783
浙江,5737,10.2,1.777932717
广西,4926,23.6,4.7909054
云南,4830,38.33,7.935817805
江西,4648,16.7,3.592943201
辽宁,4359,14.59,3.347097958
福建,3941,12.13,3.07789901
陕西,3864,20.56,5.320910973
黑龙江,3773,45.48,12.05406838
山西,3718,15.63,4.20387305
贵州,3600,17.6,4.888888889
重庆,3102,8.23,2.653127015
吉林,2704,18.74,6.930473373
甘肃,2637,45.44,17.23170269
内蒙古,2491,118.3,47.49096748
新疆,2487,166,66.74708484
上海,2424,0.68,0.280528053
台湾,2359,3.6,1.526070369
北京,2154,1.68,0.77994429
天津,1560,1.13,0.724358974
海南,934,3.4,3.640256959
香港,745,0.1101,0.147785235
宁夏,688,6.64,9.651162791
青海,603,72.23,119.7844113
西藏,335,122.8,366.5671642
澳门,63,25.4,403.1746032
